disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time
4,0.022222222222222223,243,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},6.75,0.25,0.10000000000000002,18.000000000000004,random,0.27280116081237793
3,0.016666666666666666,243,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},6.75,0.25,0.10000000000000002,18.000000000000004,random,0.27280116081237793
5,0.027777777777777776,243,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},6.75,0.25,0.10000000000000002,18.000000000000004,random,0.27280116081237793
9,0.05,243,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},6.75,0.25,0.10000000000000002,18.000000000000004,random,0.27280116081237793
7,0.03888888888888889,486,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},13.5,0.5,0.10000000000000002,18.000000000000004,random,0.5355567932128906
5,0.027777777777777776,486,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},13.5,0.5,0.10000000000000002,18.000000000000004,random,0.5355567932128906
5,0.027777777777777776,486,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},13.5,0.5,0.10000000000000002,18.000000000000004,random,0.5355567932128906
3,0.016666666666666666,486,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},13.5,0.5,0.10000000000000002,18.000000000000004,random,0.5355567932128906
4,0.022222222222222223,729,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},20.25,0.75,0.10000000000000002,18.000000000000004,random,0.7549865245819092
4,0.022222222222222223,729,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},20.25,0.75,0.10000000000000002,18.000000000000004,random,0.7549865245819092
1,0.005555555555555556,729,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},20.25,0.75,0.10000000000000002,18.000000000000004,random,0.7549865245819092
4,0.022222222222222223,729,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},20.25,0.75,0.10000000000000002,18.000000000000004,random,0.7549865245819092
4,0.022222222222222223,972,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},27.0,1.0,0.10000000000000002,18.000000000000004,random,0.90185546875
1,0.005555555555555556,972,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},27.0,1.0,0.10000000000000002,18.000000000000004,random,0.90185546875
3,0.016666666666666666,972,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},27.0,1.0,0.10000000000000002,18.000000000000004,random,0.90185546875
3,0.016666666666666666,972,0.15000000000000002,3,60,9,{'random': 1},{'random': 1},27.0,1.0,0.10000000000000002,18.000000000000004,random,0.90185546875
2,0.03333333333333333,108,0.2,3,20,4,{'random': 1},{'random': 1},3.0,0.25,0.13333333333333336,8.000000000000002,random,0.14666962623596191
